model,id,Task-ID,domain,response_type,sequence,task,choices,truth,prediction,hit,type,task_enc,truth_enc,prediction_enc
RandomModel,1,13,spatial-relational,verify,1,Left;A;B/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,1,12,spatial-relational,verify,2,Right;B;A/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,1,15,spatial-relational,verify,3,Right;B;A/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,1,7,spatial-relational,verify,4,Right;B;A/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,1,1,spatial-relational,verify,5,Left;A;B/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,1,2,spatial-relational,verify,6,Left;A;B/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,1,16,spatial-relational,verify,7,Right;B;A/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,1,8,spatial-relational,verify,8,Right;B;A/Right;C;B,Right;C;A,True,False,0,adaption,,,
RandomModel,1,9,spatial-relational,verify,9,Left;A;B/Left;B;C,Left;C;A,False,True,0,adaption,,,
RandomModel,1,5,spatial-relational,verify,10,Left;A;B/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,1,14,spatial-relational,verify,11,Left;A;B/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,1,6,spatial-relational,verify,12,Left;A;B/Right;C;B,Right;C;A,True,False,0,adaption,,,
RandomModel,1,10,spatial-relational,verify,13,Left;A;B/Right;C;B,Left;C;A,False,False,1,adaption,,,
RandomModel,1,4,spatial-relational,verify,14,Right;B;A/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,1,11,spatial-relational,verify,15,Right;B;A/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,1,3,spatial-relational,verify,16,Right;B;A/Left;B;C,Left;A;C,True,True,1,adaption,,,
RandomModel,2,2,spatial-relational,verify,1,Left;A;B/Right;C;B,Left;A;C,False,False,1,adaption,,,
RandomModel,2,12,spatial-relational,verify,2,Right;B;A/Right;C;B,Left;C;A,True,False,0,adaption,,,
RandomModel,2,9,spatial-relational,verify,3,Left;A;B/Left;B;C,Left;C;A,False,True,0,adaption,,,
RandomModel,2,15,spatial-relational,verify,4,Right;B;A/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,2,16,spatial-relational,verify,5,Right;B;A/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,2,6,spatial-relational,verify,6,Left;A;B/Right;C;B,Right;C;A,True,False,0,adaption,,,
RandomModel,2,3,spatial-relational,verify,7,Right;B;A/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,2,10,spatial-relational,verify,8,Left;A;B/Right;C;B,Left;C;A,True,True,1,adaption,,,
RandomModel,2,4,spatial-relational,verify,9,Right;B;A/Right;C;B,Left;A;C,False,False,1,adaption,,,
RandomModel,2,11,spatial-relational,verify,10,Right;B;A/Left;B;C,Left;C;A,True,False,0,adaption,,,
RandomModel,2,5,spatial-relational,verify,11,Left;A;B/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,2,14,spatial-relational,verify,12,Left;A;B/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,2,8,spatial-relational,verify,13,Right;B;A/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,2,1,spatial-relational,verify,14,Left;A;B/Left;B;C,Left;A;C,False,True,0,adaption,,,
RandomModel,2,7,spatial-relational,verify,15,Right;B;A/Left;B;C,Right;C;A,False,True,0,adaption,,,
RandomModel,2,13,spatial-relational,verify,16,Left;A;B/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,3,14,spatial-relational,verify,1,Left;A;B/Right;C;B,Right;A;C,False,False,1,adaption,,,
RandomModel,3,12,spatial-relational,verify,2,Right;B;A/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,3,1,spatial-relational,verify,3,Left;A;B/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,3,4,spatial-relational,verify,4,Right;B;A/Right;C;B,Left;A;C,True,False,0,adaption,,,
RandomModel,3,6,spatial-relational,verify,5,Left;A;B/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,3,5,spatial-relational,verify,6,Left;A;B/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,3,3,spatial-relational,verify,7,Right;B;A/Left;B;C,Left;A;C,True,False,0,adaption,,,
RandomModel,3,8,spatial-relational,verify,8,Right;B;A/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,3,2,spatial-relational,verify,9,Left;A;B/Right;C;B,Left;A;C,True,True,1,adaption,,,
RandomModel,3,13,spatial-relational,verify,10,Left;A;B/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,3,9,spatial-relational,verify,11,Left;A;B/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,3,15,spatial-relational,verify,12,Right;B;A/Left;B;C,Right;A;C,False,True,0,adaption,,,
RandomModel,3,10,spatial-relational,verify,13,Left;A;B/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,3,7,spatial-relational,verify,14,Right;B;A/Left;B;C,Right;C;A,True,False,0,adaption,,,
RandomModel,3,16,spatial-relational,verify,15,Right;B;A/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,3,11,spatial-relational,verify,16,Right;B;A/Left;B;C,Left;C;A,False,False,1,adaption,,,
RandomModel,4,14,spatial-relational,verify,1,Left;A;B/Right;C;B,Right;A;C,False,True,0,adaption,,,
RandomModel,4,11,spatial-relational,verify,2,Right;B;A/Left;B;C,Left;C;A,False,True,0,adaption,,,
RandomModel,4,13,spatial-relational,verify,3,Left;A;B/Left;B;C,Right;A;C,True,False,0,adaption,,,
RandomModel,4,8,spatial-relational,verify,4,Right;B;A/Right;C;B,Right;C;A,True,False,0,adaption,,,
RandomModel,4,10,spatial-relational,verify,5,Left;A;B/Right;C;B,Left;C;A,False,True,0,adaption,,,
RandomModel,4,12,spatial-relational,verify,6,Right;B;A/Right;C;B,Left;C;A,False,False,1,adaption,,,
RandomModel,4,4,spatial-relational,verify,7,Right;B;A/Right;C;B,Left;A;C,False,False,1,adaption,,,
RandomModel,4,6,spatial-relational,verify,8,Left;A;B/Right;C;B,Right;C;A,True,True,1,adaption,,,
RandomModel,4,15,spatial-relational,verify,9,Right;B;A/Left;B;C,Right;A;C,False,False,1,adaption,,,
RandomModel,4,16,spatial-relational,verify,10,Right;B;A/Right;C;B,Right;A;C,True,False,0,adaption,,,
RandomModel,4,5,spatial-relational,verify,11,Left;A;B/Left;B;C,Right;C;A,True,True,1,adaption,,,
RandomModel,4,2,spatial-relational,verify,12,Left;A;B/Right;C;B,Left;A;C,True,False,0,adaption,,,
RandomModel,4,3,spatial-relational,verify,13,Right;B;A/Left;B;C,Left;A;C,True,True,1,adaption,,,
RandomModel,4,1,spatial-relational,verify,14,Left;A;B/Left;B;C,Left;A;C,True,True,1,adaption,,,
RandomModel,4,9,spatial-relational,verify,15,Left;A;B/Left;B;C,Left;C;A,False,True,0,adaption,,,
RandomModel,4,7,spatial-relational,verify,16,Right;B;A/Left;B;C,Right;C;A,False,True,0,adaption,,,
RandomModel,5,13,spatial-relational,verify,1,Left;A;B/Left;B;C,Right;A;C,False,False,1,adaption,,,
