model,id,Task-ID,domain,response_type,sequence,task,choices,truth,prediction,hit,type,task_enc,truth_enc,prediction_enc
RandomModel,1,69,spatial-relational,verify,1,Left;C;D/Left;A;B/Left;B;C,Right;D;A,True,False,0,adaption,,,
RandomModel,1,112,spatial-relational,verify,2,Right;D;C/Right;C;B/Right;B;A,Right;D;A,True,False,0,adaption,,,
RandomModel,1,62,spatial-relational,verify,3,Right;C;B/Right;D;C/Right;B;A,Left;A;D,True,False,0,adaption,,,
RandomModel,1,161,spatial-relational,verify,4,Left;A;B/Left;B;C/Left;C;D,Right;A;B,False,False,1,adaption,,,
RandomModel,1,22,spatial-relational,verify,5,Left;C;D/Left;B;C/Left;A;B,Left;A;D,True,False,0,adaption,,,
RandomModel,1,116,spatial-relational,verify,6,Left;B;C/Left;C;D/Left;A;B,Left;D;A,False,False,1,adaption,,,
RandomModel,1,68,spatial-relational,verify,7,Left;B;C/Left;C;D/Left;A;B,Right;D;A,True,True,1,adaption,,,
RandomModel,1,162,spatial-relational,verify,8,Left;A;B/Left;C;D/Left;B;C,Right;A;B,False,True,0,adaption,,,
RandomModel,1,114,spatial-relational,verify,9,Left;A;B/Left;C;D/Left;B;C,Left;D;A,False,True,0,adaption,,,
RandomModel,1,155,spatial-relational,verify,10,Right;B;A/Right;C;B/Right;D;C,Left;D;A,False,False,1,adaption,,,
RandomModel,1,158,spatial-relational,verify,11,Right;C;B/Right;D;C/Right;B;A,Left;D;A,False,False,1,adaption,,,
RandomModel,1,205,spatial-relational,verify,12,Right;C;B/Right;B;A/Right;D;C,Right;A;B,False,True,0,adaption,,,
RandomModel,1,20,spatial-relational,verify,13,Left;B;C/Left;C;D/Left;A;B,Left;A;D,True,False,0,adaption,,,
RandomModel,1,67,spatial-relational,verify,14,Left;B;C/Left;A;B/Left;C;D,Right;D;A,True,True,1,adaption,,,
RandomModel,1,117,spatial-relational,verify,15,Left;C;D/Left;A;B/Left;B;C,Left;D;A,False,False,1,adaption,,,
RandomModel,1,203,spatial-relational,verify,16,Right;B;A/Right;C;B/Right;D;C,Right;A;B,False,False,1,adaption,,,
RandomModel,1,113,spatial-relational,verify,17,Left;A;B/Left;B;C/Left;C;D,Left;D;A,False,False,1,adaption,,,
RandomModel,1,208,spatial-relational,verify,18,Right;D;C/Right;C;B/Right;B;A,Right;A;B,False,True,0,adaption,,,
RandomModel,1,61,spatial-relational,verify,19,Right;C;B/Right;B;A/Right;D;C,Left;A;D,True,False,0,adaption,,,
RandomModel,1,108,spatial-relational,verify,20,Right;B;A/Right;D;C/Right;B;C,Right;D;A,True,True,1,adaption,,,
RandomModel,1,159,spatial-relational,verify,21,Right;D;C/Right;B;A/Right;C;B,Left;D;A,True,True,1,adaption,,,
RandomModel,1,204,spatial-relational,verify,22,Right;B;A/Right;D;C/Right;B;C,Right;A;B,False,True,0,adaption,,,
RandomModel,1,65,spatial-relational,verify,23,Left;A;B/Left;B;C/Left;C;D,Right;D;A,True,True,1,adaption,,,
RandomModel,1,63,spatial-relational,verify,24,Right;D;C/Right;B;A/Right;C;B,Left;A;D,True,False,0,adaption,,,
RandomModel,1,64,spatial-relational,verify,25,Right;D;C/Right;C;B/Right;B;A,Left;A;D,True,True,1,adaption,,,
RandomModel,1,110,spatial-relational,verify,26,Right;C;B/Right;D;C/Right;B;A,Right;D;A,True,True,1,adaption,,,
RandomModel,1,111,spatial-relational,verify,27,Right;D;C/Right;B;A/Right;C;B,Right;D;A,True,False,0,adaption,,,
RandomModel,1,206,spatial-relational,verify,28,Right;C;B/Right;D;C/Right;B;A,Right;A;B,False,False,1,adaption,,,
RandomModel,1,166,spatial-relational,verify,29,Left;C;D/Left;B;C/Left;A;B,Right;A;B,False,True,0,adaption,,,
RandomModel,1,107,spatial-relational,verify,30,Right;B;A/Right;C;B/Right;D;C,Right;D;A,True,False,0,adaption,,,
RandomModel,1,19,spatial-relational,verify,31,Left;B;C/Left;A;B/Left;C;D,Left;A;D,True,False,0,adaption,,,
RandomModel,1,21,spatial-relational,verify,32,Left;C;D/Left;A;B/Left;B;C,Left;A;D,True,True,1,adaption,,,
RandomModel,1,66,spatial-relational,verify,33,Left;A;B/Left;C;D/Left;B;C,Right;D;A,True,True,1,adaption,,,
RandomModel,1,164,spatial-relational,verify,34,Left;B;C/Left;C;D/Left;A;B,Right;A;B,False,False,1,adaption,,,
RandomModel,1,59,spatial-relational,verify,35,Right;B;A/Right;C;B/Right;D;C,Left;A;D,True,True,1,adaption,,,
RandomModel,1,118,spatial-relational,verify,36,Left;C;D/Left;B;C/Left;A;B,Left;D;A,False,True,0,adaption,,,
RandomModel,1,165,spatial-relational,verify,37,Left;C;D/Left;A;B/Left;B;C,Right;A;B,False,False,1,adaption,,,
RandomModel,1,70,spatial-relational,verify,38,Left;C;D/Left;B;C/Left;A;B,Right;D;A,True,True,1,adaption,,,
RandomModel,1,156,spatial-relational,verify,39,Right;B;A/Right;D;C/Right;B;C,Left;D;A,True,True,1,adaption,,,
RandomModel,1,115,spatial-relational,verify,40,Left;B;C/Left;A;B/Left;C;D,Left;D;A,False,True,0,adaption,,,
RandomModel,1,18,spatial-relational,verify,41,Left;A;B/Left;C;D/Left;B;C,Left;A;D,True,True,1,adaption,,,
RandomModel,1,157,spatial-relational,verify,42,Right;C;B/Right;B;A/Right;D;C,Left;D;A,False,True,0,adaption,,,
